,sparsity,threshold,N,TPR,FPR
0,0.01,1.0,100,0.0,0.0
1,0.01,2.0,200,0.25,0.3
2,0.1,10.0,100,0.95,0.95
3,0.1,20.0,200,1.0,0.9
4,0.5,50.0,100,0.0,0.0
5,0.5,100.0,200,0.0,0.0
6,0.01,501.0,100,0.0,0.0
7,0.01,502.0,200,0.0,0.0
8,0.1,510.0,100,0.0,0.0
9,0.1,520.0,200,0.0,0.0
10,0.5,550.0,100,0.0,0.0
11,0.5,600.0,200,0.0,0.0
12,0.01,1001.0,100,0.0,0.0
13,0.01,1002.0,200,0.0,0.0
14,0.1,1010.0,100,0.0,0.0
15,0.1,1020.0,200,0.0,0.0
16,0.5,1050.0,100,0.0,0.0
17,0.5,1100.0,200,0.0,0.0
