,threshold,N,n,TPR,FPR,p
138,-49.5,100,10,1.0,1.0,0.5
139,-49.5,100,10,1.0,1.0,0.5
140,-49.5,100,10,1.0,1.0,0.5
141,-49.5,100,10,1.0,1.0,0.5
142,-49.5,100,10,1.0,1.0,0.5
143,-49.5,100,10,1.0,1.0,0.5
144,-49.5,100,10,1.0,1.0,0.5
145,-49.5,100,10,1.0,1.0,0.5
146,-49.5,100,10,1.0,1.0,0.5
147,-49.5,100,10,1.0,1.0,0.5
148,-49.5,100,10,1.0,1.0,0.5
149,-49.5,100,10,1.0,1.0,0.5
150,-49.5,100,15,1.0,1.0,0.5
151,-49.5,100,15,1.0,1.0,0.5
152,-49.5,100,15,1.0,1.0,0.5
153,-49.5,100,15,1.0,1.0,0.5
154,-49.5,100,15,1.0,1.0,0.5
155,-49.5,100,15,1.0,1.0,0.5
156,-49.5,100,15,1.0,1.0,0.5
157,-49.5,100,15,1.0,1.0,0.5
158,-49.5,100,15,1.0,1.0,0.5
159,-49.5,100,15,1.0,1.0,0.5
160,-49.5,100,15,1.0,1.0,0.5
161,-49.5,100,15,1.0,1.0,0.5
162,-49.5,100,15,1.0,1.0,0.5
163,-49.5,100,15,1.0,1.0,0.5
164,-49.5,100,15,1.0,1.0,0.5
165,-49.5,100,15,1.0,1.0,0.5
166,-49.5,100,15,1.0,1.0,0.5
167,-49.5,100,15,1.0,1.0,0.5
168,-49.5,100,15,1.0,1.0,0.5
169,-49.5,100,15,1.0,1.0,0.5
170,-49.5,100,15,1.0,1.0,0.5
171,-49.5,100,15,1.0,1.0,0.5
172,-49.5,100,15,1.0,1.0,0.5
173,-49.5,100,15,1.0,1.0,0.5
174,-49.5,100,15,1.0,1.0,0.5
175,-49.5,100,15,1.0,1.0,0.5
176,-49.5,100,15,1.0,1.0,0.5
177,-49.5,100,15,1.0,1.0,0.5
178,-49.5,100,15,1.0,1.0,0.5
179,-49.5,100,15,1.0,1.0,0.5
