,threshold,N,n,errors,p,k,type,g,U
0,-1.05,100,1,9,0.01,10,known,10,-1
1,-1.05,100,2,9,0.01,10,known,10,-1
2,-1.05,100,2,12,0.01,33,known,10,-1
3,-1.05,100,2,11,0.01,12,new,10,-1
4,-1.05,100,5,9,0.01,186,known,10,-1
5,-1.05,100,5,12,0.01,186,known,10,-1
6,-1.05,100,5,11,0.01,186,known,10,-1
7,-1.05,100,5,11,0.01,186,known,10,-1
8,-1.05,100,5,12,0.01,186,known,10,-1
9,-1.05,100,5,10,0.01,186,new,10,-1
10,-1.05,100,5,11,0.01,186,new,10,-1
11,-1.05,100,5,10,0.01,186,new,10,-1
12,-1.05,100,5,10,0.01,186,new,10,-1
13,-1.05,100,10,9,0.01,186,known,10,-1
14,-1.05,100,10,12,0.01,186,known,10,-1
15,-1.05,100,10,11,0.01,186,known,10,-1
16,-1.05,100,10,11,0.01,186,known,10,-1
17,-1.05,100,10,12,0.01,186,known,10,-1
18,-1.05,100,10,9,0.01,186,known,10,-1
19,-1.05,100,10,12,0.01,186,known,10,-1
20,-1.05,100,10,11,0.01,186,known,10,-1
21,-1.05,100,10,12,0.01,186,known,10,-1
22,-1.05,100,10,12,0.01,186,known,10,-1
23,-1.05,100,10,8,0.01,186,new,10,-1
24,-1.05,100,10,10,0.01,186,new,10,-1
25,-1.05,100,10,11,0.01,186,new,10,-1
26,-1.05,100,10,11,0.01,186,new,10,-1
27,-1.05,100,10,10,0.01,186,new,10,-1
28,-1.05,100,10,10,0.01,186,new,10,-1
29,-1.05,100,10,8,0.01,186,new,10,-1
30,-1.05,100,10,11,0.01,186,new,10,-1
31,-1.05,100,10,10,0.01,186,new,10,-1
32,-1.05,100,15,9,0.01,186,known,10,-1
33,-1.05,100,15,12,0.01,186,known,10,-1
34,-1.05,100,15,11,0.01,186,known,10,-1
35,-1.05,100,15,11,0.01,186,known,10,-1
36,-1.05,100,15,12,0.01,186,known,10,-1
37,-1.05,100,15,9,0.01,186,known,10,-1
38,-1.05,100,15,12,0.01,186,known,10,-1
39,-1.05,100,15,11,0.01,186,known,10,-1
40,-1.05,100,15,12,0.01,186,known,10,-1
41,-1.05,100,15,12,0.01,186,known,10,-1
42,-1.05,100,15,10,0.01,186,known,10,-1
43,-1.05,100,15,8,0.01,186,known,10,-1
44,-1.05,100,15,12,0.01,186,known,10,-1
45,-1.05,100,15,11,0.01,186,known,10,-1
46,-1.05,100,15,11,0.01,186,known,10,-1
47,-1.05,100,15,10,0.01,231,new,10,-1
48,-1.05,100,15,8,0.01,186,new,10,-1
49,-1.05,100,15,11,0.01,186,new,10,-1
50,-1.05,100,15,10,0.01,186,new,10,-1
51,-1.05,100,15,11,0.01,186,new,10,-1
52,-1.05,100,15,10,0.01,187,new,10,-1
53,-1.05,100,15,10,0.01,186,new,10,-1
54,-1.05,100,15,8,0.01,186,new,10,-1
55,-1.05,100,15,7,0.01,186,new,10,-1
56,-1.05,100,15,11,0.01,186,new,10,-1
57,-1.05,100,15,10,0.01,186,new,10,-1
58,-1.05,100,15,10,0.01,186,new,10,-1
59,-1.05,100,15,7,0.01,186,new,10,-1
60,-1.05,100,15,11,0.01,186,new,10,-1
61,-1.05,100,50,12,0.01,335,known,10,-1
62,-1.05,100,50,13,0.01,379,known,10,-1
63,-1.05,100,50,12,0.01,379,known,10,-1
64,-1.05,100,50,12,0.01,379,known,10,-1
65,-1.05,100,50,13,0.01,379,known,10,-1
66,-1.05,100,50,12,0.01,335,known,10,-1
67,-1.05,100,50,13,0.01,379,known,10,-1
68,-1.05,100,50,12,0.01,379,known,10,-1
69,-1.05,100,50,11,0.01,379,known,10,-1
70,-1.05,100,50,13,0.01,379,known,10,-1
71,-1.05,100,50,13,0.01,379,known,10,-1
72,-1.05,100,50,12,0.01,335,known,10,-1
73,-1.05,100,50,13,0.01,379,known,10,-1
74,-1.05,100,50,12,0.01,379,known,10,-1
75,-1.05,100,50,12,0.01,379,known,10,-1
76,-1.05,100,50,11,0.01,379,known,10,-1
77,-1.05,100,50,14,0.01,379,known,10,-1
78,-1.05,100,50,12,0.01,335,known,10,-1
79,-1.05,100,50,12,0.01,379,known,10,-1
80,-1.05,100,50,9,0.01,335,known,10,-1
81,-1.05,100,50,12,0.01,379,known,10,-1
82,-1.05,100,50,13,0.01,379,known,10,-1
83,-1.05,100,50,13,0.01,379,known,10,-1
84,-1.05,100,50,9,0.01,335,known,10,-1
85,-1.05,100,50,8,0.01,283,known,10,-1
86,-1.05,100,50,12,0.01,379,known,10,-1
87,-1.05,100,50,11,0.01,379,known,10,-1
88,-1.05,100,50,13,0.01,379,known,10,-1
89,-1.05,100,50,13,0.01,335,known,10,-1
90,-1.05,100,50,12,0.01,379,known,10,-1
91,-1.05,100,50,13,0.01,379,known,10,-1
92,-1.05,100,50,12,0.01,379,known,10,-1
93,-1.05,100,50,9,0.01,335,known,10,-1
94,-1.05,100,50,12,0.01,379,known,10,-1
95,-1.05,100,50,11,0.01,379,known,10,-1
96,-1.05,100,50,13,0.01,379,known,10,-1
97,-1.05,100,50,12,0.01,379,known,10,-1
98,-1.05,100,50,12,0.01,335,known,10,-1
99,-1.05,100,50,13,0.01,379,known,10,-1
100,-1.05,100,50,12,0.01,379,known,10,-1
101,-1.05,100,50,13,0.01,379,known,10,-1
102,-1.05,100,50,12,0.01,379,known,10,-1
103,-1.05,100,50,11,0.01,379,known,10,-1
104,-1.05,100,50,12,0.01,379,known,10,-1
105,-1.05,100,50,10,0.01,335,known,10,-1
106,-1.05,100,50,12,0.01,379,known,10,-1
107,-1.05,100,50,12,0.01,379,known,10,-1
108,-1.05,100,50,12,0.01,379,known,10,-1
109,-1.05,100,50,12,0.01,379,known,10,-1
110,-1.05,100,50,15,0.01,335,known,10,-1
111,-1.05,100,50,13,0.01,379,new,10,-1
112,-1.05,100,50,12,0.01,379,new,10,-1
113,-1.05,100,50,15,0.01,412,new,10,-1
114,-1.05,100,50,12,0.01,379,new,10,-1
115,-1.05,100,50,17,0.01,335,new,10,-1
116,-1.05,100,50,14,0.01,335,new,10,-1
117,-1.05,100,50,13,0.01,379,new,10,-1
118,-1.05,100,50,12,0.01,379,new,10,-1
119,-1.05,100,50,17,0.01,335,new,10,-1
120,-1.05,100,50,12,0.01,379,new,10,-1
121,-1.05,100,50,15,0.01,335,new,10,-1
122,-1.05,100,50,12,0.01,379,new,10,-1
123,-1.05,100,50,12,0.01,379,new,10,-1
124,-1.05,100,50,13,0.01,379,new,10,-1
125,-1.05,100,50,15,0.01,335,new,10,-1
126,-1.05,100,50,13,0.01,379,new,10,-1
127,-1.05,100,50,12,0.01,379,new,10,-1
128,-1.05,100,50,13,0.01,379,new,10,-1
129,-1.05,100,50,13,0.01,597,new,10,-1
130,-1.05,100,50,12,0.01,379,new,10,-1
131,-1.05,100,50,12,0.01,379,new,10,-1
132,-1.05,100,50,13,0.01,379,new,10,-1
133,-1.05,100,50,12,0.01,379,new,10,-1
134,-1.05,100,50,14,0.01,645,new,10,-1
135,-1.05,100,50,11,0.01,379,new,10,-1
136,-1.05,100,50,13,0.01,335,new,10,-1
137,-1.05,100,50,12,0.01,379,new,10,-1
138,-1.05,100,50,14,0.01,379,new,10,-1
139,-1.05,100,50,14,0.01,360,new,10,-1
140,-1.05,100,50,12,0.01,379,new,10,-1
141,-1.05,100,50,16,0.01,379,new,10,-1
142,-1.05,100,50,12,0.01,379,new,10,-1
143,-1.05,100,50,13,0.01,379,new,10,-1
144,-1.05,100,50,13,0.01,379,new,10,-1
145,-1.05,100,50,12,0.01,379,new,10,-1
146,-1.05,100,50,11,0.01,379,new,10,-1
147,-1.05,100,50,12,0.01,335,new,10,-1
148,-1.05,100,50,13,0.01,379,new,10,-1
149,-1.05,100,50,15,0.01,374,new,10,-1
150,-1.05,100,50,12,0.01,379,new,10,-1
151,-1.05,100,50,12,0.01,379,new,10,-1
152,-1.05,100,50,14,0.01,379,new,10,-1
153,-1.05,100,50,15,0.01,335,new,10,-1
154,-1.05,100,50,14,0.01,379,new,10,-1
155,-1.05,100,50,13,0.01,335,new,10,-1
156,-1.05,100,50,16,0.01,335,new,10,-1
157,-1.05,100,50,15,0.01,335,new,10,-1
158,-1.05,100,50,16,0.01,335,new,10,-1
159,-1.05,100,50,13,0.01,379,new,10,-1
160,-1.05,100,100,19,0.01,852,known,10,-1
161,-1.05,100,100,18,0.01,550,known,10,-1
162,-1.05,100,100,16,0.01,430,known,10,-1
163,-1.05,100,100,16,0.01,430,known,10,-1
164,-1.05,100,100,17,0.01,430,known,10,-1
165,-1.05,100,100,15,0.01,550,known,10,-1
166,-1.05,100,100,18,0.01,550,known,10,-1
167,-1.05,100,100,16,0.01,430,known,10,-1
168,-1.05,100,100,16,0.01,550,known,10,-1
169,-1.05,100,100,18,0.01,550,known,10,-1
170,-1.05,100,100,18,0.01,852,known,10,-1
171,-1.05,100,100,14,0.01,339,known,10,-1
172,-1.05,100,100,16,0.01,346,known,10,-1
173,-1.05,100,100,16,0.01,430,known,10,-1
174,-1.05,100,100,16,0.01,430,known,10,-1
175,-1.05,100,100,16,0.01,513,known,10,-1
176,-1.05,100,100,16,0.01,420,known,10,-1
177,-1.05,100,100,14,0.01,513,known,10,-1
178,-1.05,100,100,16,0.01,430,known,10,-1
179,-1.05,100,100,14,0.01,513,known,10,-1
180,-1.05,100,100,16,0.01,430,known,10,-1
181,-1.05,100,100,18,0.01,550,known,10,-1
182,-1.05,100,100,18,0.01,550,known,10,-1
183,-1.05,100,100,14,0.01,550,known,10,-1
184,-1.05,100,100,16,0.01,570,known,10,-1
185,-1.05,100,100,16,0.01,430,known,10,-1
186,-1.05,100,100,16,0.01,550,known,10,-1
187,-1.05,100,100,18,0.01,550,known,10,-1
188,-1.05,100,100,13,0.01,550,known,10,-1
189,-1.05,100,100,16,0.01,430,known,10,-1
190,-1.05,100,100,16,0.01,360,known,10,-1
191,-1.05,100,100,16,0.01,430,known,10,-1
192,-1.05,100,100,14,0.01,612,known,10,-1
193,-1.05,100,100,16,0.01,430,known,10,-1
194,-1.05,100,100,16,0.01,513,known,10,-1
195,-1.05,100,100,18,0.01,550,known,10,-1
196,-1.05,100,100,16,0.01,430,known,10,-1
197,-1.05,100,100,15,0.01,550,known,10,-1
198,-1.05,100,100,18,0.01,550,known,10,-1
199,-1.05,100,100,16,0.01,430,known,10,-1
200,-1.05,100,100,16,0.01,360,known,10,-1
201,-1.05,100,100,16,0.01,430,known,10,-1
202,-1.05,100,100,15,0.01,430,known,10,-1
203,-1.05,100,100,16,0.01,430,known,10,-1
204,-1.05,100,100,18,0.01,335,known,10,-1
205,-1.05,100,100,16,0.01,430,known,10,-1
206,-1.05,100,100,16,0.01,430,known,10,-1
207,-1.05,100,100,16,0.01,430,known,10,-1
208,-1.05,100,100,16,0.01,430,known,10,-1
209,-1.05,100,100,17,0.01,570,known,10,-1
210,-1.05,100,100,18,0.01,550,known,10,-1
211,-1.05,100,100,18,0.01,550,known,10,-1
212,-1.05,100,100,16,0.01,430,known,10,-1
213,-1.05,100,100,15,0.01,550,known,10,-1
214,-1.05,100,100,16,0.01,430,known,10,-1
215,-1.05,100,100,17,0.01,570,known,10,-1
216,-1.05,100,100,19,0.01,852,known,10,-1
217,-1.05,100,100,18,0.01,550,known,10,-1
218,-1.05,100,100,16,0.01,430,known,10,-1
219,-1.05,100,100,17,0.01,570,known,10,-1
220,-1.05,100,100,16,0.01,430,known,10,-1
221,-1.05,100,100,14,0.01,346,known,10,-1
222,-1.05,100,100,16,0.01,430,known,10,-1
223,-1.05,100,100,16,0.01,430,known,10,-1
224,-1.05,100,100,18,0.01,550,known,10,-1
225,-1.05,100,100,17,0.01,513,known,10,-1
226,-1.05,100,100,17,0.01,550,known,10,-1
227,-1.05,100,100,16,0.01,430,known,10,-1
228,-1.05,100,100,17,0.01,430,known,10,-1
229,-1.05,100,100,18,0.01,852,known,10,-1
230,-1.05,100,100,16,0.01,430,known,10,-1
231,-1.05,100,100,16,0.01,430,known,10,-1
232,-1.05,100,100,18,0.01,550,known,10,-1
233,-1.05,100,100,16,0.01,430,known,10,-1
234,-1.05,100,100,15,0.01,346,known,10,-1
235,-1.05,100,100,16,0.01,550,known,10,-1
236,-1.05,100,100,16,0.01,335,known,10,-1
237,-1.05,100,100,16,0.01,430,known,10,-1
238,-1.05,100,100,17,0.01,550,known,10,-1
239,-1.05,100,100,17,0.01,360,known,10,-1
240,-1.05,100,100,16,0.01,430,known,10,-1
241,-1.05,100,100,18,0.01,570,known,10,-1
242,-1.05,100,100,17,0.01,550,known,10,-1
243,-1.05,100,100,18,0.01,550,known,10,-1
244,-1.05,100,100,18,0.01,550,known,10,-1
245,-1.05,100,100,16,0.01,430,known,10,-1
246,-1.05,100,100,16,0.01,513,known,10,-1
247,-1.05,100,100,22,0.01,570,known,10,-1
248,-1.05,100,100,18,0.01,550,known,10,-1
249,-1.05,100,100,16,0.01,570,known,10,-1
250,-1.05,100,100,16,0.01,430,known,10,-1
251,-1.05,100,100,16,0.01,430,known,10,-1
252,-1.05,100,100,16,0.01,339,known,10,-1
253,-1.05,100,100,14,0.01,339,known,10,-1
254,-1.05,100,100,15,0.01,346,known,10,-1
255,-1.05,100,100,14,0.01,513,known,10,-1
256,-1.05,100,100,13,0.01,360,known,10,-1
257,-1.05,100,100,14,0.01,346,known,10,-1
258,-1.05,100,100,15,0.01,335,known,10,-1
259,-1.05,100,100,16,0.01,346,known,10,-1
260,-1.05,100,100,16,0.01,430,new,10,-1
261,-1.05,100,100,18,0.01,852,new,10,-1
262,-1.05,100,100,17,0.01,550,new,10,-1
263,-1.05,100,100,18,0.01,550,new,10,-1
264,-1.05,100,100,18,0.01,550,new,10,-1
265,-1.05,100,100,16,0.01,360,new,10,-1
266,-1.05,100,100,20,0.01,550,new,10,-1
267,-1.05,100,100,16,0.01,550,new,10,-1
268,-1.05,100,100,20,0.01,570,new,10,-1
269,-1.05,100,100,16,0.01,430,new,10,-1
270,-1.05,100,100,16,0.01,430,new,10,-1
271,-1.05,100,100,16,0.01,430,new,10,-1
272,-1.05,100,100,19,0.01,550,new,10,-1
273,-1.05,100,100,18,0.01,550,new,10,-1
274,-1.05,100,100,16,0.01,430,new,10,-1
275,-1.05,100,100,16,0.01,430,new,10,-1
276,-1.05,100,100,16,0.01,430,new,10,-1
277,-1.05,100,100,16,0.01,430,new,10,-1
278,-1.05,100,100,15,0.01,430,new,10,-1
279,-1.05,100,100,16,0.01,430,new,10,-1
280,-1.05,100,100,17,0.01,360,new,10,-1
281,-1.05,100,100,16,0.01,430,new,10,-1
282,-1.05,100,100,18,0.01,550,new,10,-1
283,-1.05,100,100,16,0.01,430,new,10,-1
284,-1.05,100,100,16,0.01,430,new,10,-1
285,-1.05,100,100,17,0.01,570,new,10,-1
286,-1.05,100,100,22,0.01,570,new,10,-1
287,-1.05,100,100,17,0.01,268,new,10,-1
288,-1.05,100,100,19,0.01,570,new,10,-1
289,-1.05,100,100,19,0.01,550,new,10,-1
290,-1.05,100,100,18,0.01,570,new,10,-1
291,-1.05,100,100,16,0.01,430,new,10,-1
292,-1.05,100,100,18,0.01,550,new,10,-1
293,-1.05,100,100,18,0.01,570,new,10,-1
294,-1.05,100,100,16,0.01,430,new,10,-1
295,-1.05,100,100,17,0.01,430,new,10,-1
296,-1.05,100,100,19,0.01,550,new,10,-1
297,-1.05,100,100,16,0.01,430,new,10,-1
298,-1.05,100,100,16,0.01,345,new,10,-1
299,-1.05,100,100,18,0.01,550,new,10,-1
300,-1.05,100,100,17,0.01,360,new,10,-1
301,-1.05,100,100,16,0.01,430,new,10,-1
302,-1.05,100,100,15,0.01,430,new,10,-1
303,-1.05,100,100,16,0.01,430,new,10,-1
304,-1.05,100,100,18,0.01,550,new,10,-1
305,-1.05,100,100,18,0.01,550,new,10,-1
306,-1.05,100,100,18,0.01,570,new,10,-1
307,-1.05,100,100,18,0.01,550,new,10,-1
308,-1.05,100,100,16,0.01,430,new,10,-1
309,-1.05,100,100,20,0.01,550,new,10,-1
310,-1.05,100,100,19,0.01,550,new,10,-1
311,-1.05,100,100,19,0.01,550,new,10,-1
312,-1.05,100,100,18,0.01,570,new,10,-1
313,-1.05,100,100,16,0.01,430,new,10,-1
314,-1.05,100,100,18,0.01,550,new,10,-1
315,-1.05,100,100,16,0.01,430,new,10,-1
316,-1.05,100,100,17,0.01,346,new,10,-1
317,-1.05,100,100,21,0.01,570,new,10,-1
318,-1.05,100,100,16,0.01,430,new,10,-1
319,-1.05,100,100,18,0.01,612,new,10,-1
320,-1.05,100,100,16,0.01,430,new,10,-1
321,-1.05,100,100,17,0.01,430,new,10,-1
322,-1.05,100,100,16,0.01,430,new,10,-1
323,-1.05,100,100,18,0.01,421,new,10,-1
324,-1.05,100,100,17,0.01,550,new,10,-1
325,-1.05,100,100,19,0.01,550,new,10,-1
326,-1.05,100,100,18,0.01,550,new,10,-1
327,-1.05,100,100,16,0.01,360,new,10,-1
328,-1.05,100,100,17,0.01,349,new,10,-1
329,-1.05,100,100,18,0.01,570,new,10,-1
330,-1.05,100,100,16,0.01,430,new,10,-1
331,-1.05,100,100,18,0.01,570,new,10,-1
332,-1.05,100,100,18,0.01,550,new,10,-1
333,-1.05,100,100,16,0.01,550,new,10,-1
