,threshold,N,n,TPR,FPR,p
138,-0.495,100,10,1.0,1.0,0.5
139,-0.495,100,10,1.0,1.0,0.5
140,-0.495,100,10,1.0,1.0,0.5
141,-0.495,100,10,1.0,1.0,0.5
142,-0.495,100,10,1.0,1.0,0.5
143,-0.495,100,10,1.0,1.0,0.5
144,-0.495,100,10,1.0,1.0,0.5
145,-0.495,100,10,1.0,1.0,0.5
146,-0.495,100,10,1.0,1.0,0.5
147,-0.495,100,10,1.0,1.0,0.5
148,-0.495,100,10,1.0,1.0,0.5
149,-0.495,100,10,1.0,1.0,0.5
150,-0.495,100,15,1.0,1.0,0.5
151,-0.495,100,15,1.0,1.0,0.5
152,-0.495,100,15,1.0,1.0,0.5
153,-0.495,100,15,1.0,1.0,0.5
154,-0.495,100,15,1.0,1.0,0.5
155,-0.495,100,15,1.0,1.0,0.5
156,-0.495,100,15,1.0,1.0,0.5
157,-0.495,100,15,1.0,1.0,0.5
158,-0.495,100,15,1.0,1.0,0.5
159,-0.495,100,15,1.0,1.0,0.5
160,-0.495,100,15,1.0,1.0,0.5
161,-0.495,100,15,1.0,1.0,0.5
162,-0.495,100,15,1.0,1.0,0.5
163,-0.495,100,15,1.0,1.0,0.5
164,-0.495,100,15,1.0,1.0,0.5
165,-0.495,100,15,1.0,1.0,0.5
166,-0.495,100,15,1.0,1.0,0.5
167,-0.495,100,15,1.0,1.0,0.5
168,-0.495,100,15,1.0,1.0,0.5
169,-0.495,100,15,1.0,1.0,0.5
170,-0.495,100,15,1.0,1.0,0.5
171,-0.495,100,15,1.0,1.0,0.5
172,-0.495,100,15,1.0,1.0,0.5
173,-0.495,100,15,1.0,1.0,0.5
174,-0.495,100,15,1.0,1.0,0.5
175,-0.495,100,15,1.0,1.0,0.5
176,-0.495,100,15,1.0,1.0,0.5
177,-0.495,100,15,1.0,1.0,0.5
178,-0.495,100,15,1.0,1.0,0.5
179,-0.495,100,15,1.0,1.0,0.5
