,sparsity,threshold,N,TPR,FPR
0,0.01,-10.5,100,1.0,1.0
1,0.01,-10.75,200,1.0,1.0
2,0.1,-19.5,100,1.0,1.0
3,0.1,-19.75,200,1.0,1.0
4,0.5,-59.5,100,1.0,1.0
5,0.5,-59.75,200,1.0,1.0
6,0.01,-1.5,100,1.0,1.0
7,0.01,-1.75,200,1.0,1.0
8,0.1,-10.5,100,1.0,1.0
9,0.1,-10.75,200,1.0,1.0
10,0.5,-50.5,100,1.0,1.0
11,0.5,-50.75,200,1.0,1.0
12,0.01,-0.5,100,1.0,1.0
13,0.01,-0.75,200,1.0,1.0
14,0.1,-9.5,100,1.0,1.0
15,0.1,-9.75,200,1.0,1.0
16,0.5,-49.5,100,1.0,1.0
17,0.5,-49.75,200,1.0,1.0
