,threshold,N,n,TPR,FPR,p
138,-4.95,100,10,1.0,1.0,0.5
139,-4.95,100,10,1.0,1.0,0.5
140,-4.95,100,10,1.0,1.0,0.5
141,-4.95,100,10,1.0,1.0,0.5
142,-4.95,100,10,1.0,1.0,0.5
143,-4.95,100,10,1.0,1.0,0.5
144,-4.95,100,10,1.0,1.0,0.5
145,-4.95,100,10,1.0,1.0,0.5
146,-4.95,100,10,1.0,1.0,0.5
147,-4.95,100,10,1.0,1.0,0.5
148,-4.95,100,10,1.0,1.0,0.5
149,-4.95,100,10,1.0,1.0,0.5
150,-4.95,100,15,1.0,1.0,0.5
151,-4.95,100,15,1.0,1.0,0.5
152,-4.95,100,15,1.0,1.0,0.5
153,-4.95,100,15,1.0,1.0,0.5
154,-4.95,100,15,1.0,1.0,0.5
155,-4.95,100,15,1.0,1.0,0.5
156,-4.95,100,15,1.0,1.0,0.5
157,-4.95,100,15,1.0,1.0,0.5
158,-4.95,100,15,1.0,1.0,0.5
159,-4.95,100,15,1.0,1.0,0.5
160,-4.95,100,15,1.0,1.0,0.5
161,-4.95,100,15,1.0,1.0,0.5
162,-4.95,100,15,1.0,1.0,0.5
163,-4.95,100,15,1.0,1.0,0.5
164,-4.95,100,15,1.0,1.0,0.5
165,-4.95,100,15,1.0,1.0,0.5
166,-4.95,100,15,1.0,1.0,0.5
167,-4.95,100,15,1.0,1.0,0.5
168,-4.95,100,15,1.0,1.0,0.5
169,-4.95,100,15,1.0,1.0,0.5
170,-4.95,100,15,1.0,1.0,0.5
171,-4.95,100,15,1.0,1.0,0.5
172,-4.95,100,15,1.0,1.0,0.5
173,-4.95,100,15,1.0,1.0,0.5
174,-4.95,100,15,1.0,1.0,0.5
175,-4.95,100,15,1.0,1.0,0.5
176,-4.95,100,15,1.0,1.0,0.5
177,-4.95,100,15,1.0,1.0,0.5
178,-4.95,100,15,1.0,1.0,0.5
179,-4.95,100,15,1.0,1.0,0.5
