,threshold,N,n,TPR,FPR,p
0,0.0,100,5,0.4,0.4,0.01
1,0.0,100,5,0.4,0.4,0.01
2,0.0,100,5,0.4,0.4,0.01
3,0.0,100,5,0.4,0.4,0.01
4,0.0,100,5,0.4,0.4,0.01
5,0.0,100,5,0.4,0.4,0.01
6,0.0,100,5,0.4,0.4,0.01
7,0.0,100,5,0.4,0.4,0.01
8,0.0,100,5,0.4,0.4,0.01
9,0.0,100,5,0.4,0.4,0.01
10,0.0,100,10,0.3,0.5,0.01
11,0.0,100,10,0.3,0.5,0.01
12,0.0,100,10,0.3,0.5,0.01
13,0.0,100,10,0.3,0.5,0.01
14,0.0,100,10,0.3,0.5,0.01
15,0.0,100,10,0.3,0.5,0.01
16,0.0,100,10,0.3,0.5,0.01
17,0.0,100,10,0.3,0.5,0.01
18,0.0,100,10,0.3,0.5,0.01
19,0.0,100,10,0.3,0.5,0.01
20,0.0,100,10,0.3,0.5,0.01
21,0.0,100,10,0.3,0.5,0.01
22,0.0,100,10,0.3,0.5,0.01
23,0.0,100,10,0.3,0.5,0.01
24,0.0,100,10,0.3,0.5,0.01
25,0.0,100,10,0.3,0.5,0.01
26,0.0,100,10,0.3,0.5,0.01
27,0.0,100,10,0.3,0.5,0.01
28,0.0,100,10,0.3,0.5,0.01
29,0.0,100,10,0.3,0.5,0.01
30,0.0,100,15,0.4,0.5,0.01
31,0.0,100,15,0.4,0.5,0.01
32,0.0,100,15,0.4,0.5,0.01
33,0.0,100,15,0.4,0.5,0.01
34,0.0,100,15,0.4,0.5,0.01
35,0.0,100,15,0.4,0.5,0.01
36,0.0,100,15,0.4,0.5,0.01
37,0.0,100,15,0.4,0.5,0.01
38,0.0,100,15,0.4,0.5,0.01
39,0.0,100,15,0.4,0.5,0.01
40,0.0,100,15,0.4,0.5,0.01
41,0.0,100,15,0.4,0.5,0.01
42,0.0,100,15,0.4,0.5,0.01
43,0.0,100,15,0.4,0.5,0.01
44,0.0,100,15,0.4,0.5,0.01
45,0.0,100,15,0.4,0.5,0.01
46,0.0,100,15,0.4,0.5,0.01
47,0.0,100,15,0.4,0.5,0.01
48,0.0,100,15,0.4,0.5,0.01
49,0.0,100,15,0.4,0.5,0.01
50,0.0,100,15,0.4,0.5,0.01
51,0.0,100,15,0.4,0.5,0.01
52,0.0,100,15,0.4,0.5,0.01
53,0.0,100,15,0.4,0.5,0.01
54,0.0,100,15,0.4,0.5,0.01
55,0.0,100,15,0.4,0.5,0.01
56,0.0,100,15,0.4,0.5,0.01
57,0.0,100,15,0.4,0.5,0.01
58,0.0,100,15,0.4,0.5,0.01
59,0.0,100,15,0.4,0.5,0.01
60,0.0,100,5,1.0,1.0,0.1
61,0.0,100,5,1.0,1.0,0.1
62,0.0,100,5,1.0,1.0,0.1
63,0.0,100,5,1.0,1.0,0.1
64,0.0,100,5,1.0,1.0,0.1
65,0.0,100,5,1.0,1.0,0.1
66,0.0,100,5,1.0,1.0,0.1
67,0.0,100,5,1.0,1.0,0.1
68,0.0,100,5,1.0,1.0,0.1
69,0.0,100,5,1.0,1.0,0.1
70,0.0,100,10,1.0,1.0,0.1
71,0.0,100,10,1.0,1.0,0.1
72,0.0,100,10,1.0,1.0,0.1
73,0.0,100,10,1.0,1.0,0.1
74,0.0,100,10,1.0,1.0,0.1
75,0.0,100,10,1.0,1.0,0.1
76,0.0,100,10,1.0,1.0,0.1
77,0.0,100,10,1.0,1.0,0.1
78,0.0,100,10,1.0,1.0,0.1
79,0.0,100,10,1.0,1.0,0.1
80,0.0,100,10,1.0,1.0,0.1
81,0.0,100,10,1.0,1.0,0.1
82,0.0,100,10,1.0,1.0,0.1
83,0.0,100,10,1.0,1.0,0.1
84,0.0,100,10,1.0,1.0,0.1
85,0.0,100,10,1.0,1.0,0.1
86,0.0,100,10,1.0,1.0,0.1
87,0.0,100,10,1.0,1.0,0.1
88,0.0,100,10,1.0,1.0,0.1
89,0.0,100,10,1.0,1.0,0.1
90,0.0,100,15,1.0,1.0,0.1
91,0.0,100,15,1.0,1.0,0.1
92,0.0,100,15,1.0,1.0,0.1
93,0.0,100,15,1.0,1.0,0.1
94,0.0,100,15,1.0,1.0,0.1
95,0.0,100,15,1.0,1.0,0.1
96,0.0,100,15,1.0,1.0,0.1
97,0.0,100,15,1.0,1.0,0.1
98,0.0,100,15,1.0,1.0,0.1
99,0.0,100,15,1.0,1.0,0.1
100,0.0,100,15,1.0,1.0,0.1
101,0.0,100,15,1.0,1.0,0.1
102,0.0,100,15,1.0,1.0,0.1
103,0.0,100,15,1.0,1.0,0.1
104,0.0,100,15,1.0,1.0,0.1
105,0.0,100,15,1.0,1.0,0.1
106,0.0,100,15,1.0,1.0,0.1
107,0.0,100,15,1.0,1.0,0.1
108,0.0,100,15,1.0,1.0,0.1
109,0.0,100,15,1.0,1.0,0.1
110,0.0,100,15,1.0,1.0,0.1
111,0.0,100,15,1.0,1.0,0.1
112,0.0,100,15,1.0,1.0,0.1
113,0.0,100,15,1.0,1.0,0.1
114,0.0,100,15,1.0,1.0,0.1
