,threshold,N,n,errors,p,k,type,g
0,-0.05,100,20,0,0.01,0,train,10
1,-0.05,100,20,0,0.01,0,train,10
2,-0.05,100,20,1,0.01,1,train,10
3,-0.05,100,20,1,0.01,1,train,10
4,-0.05,100,20,0,0.01,0,train,10
5,-0.05,100,20,0,0.01,0,train,10
6,-0.05,100,20,0,0.01,0,train,10
7,-0.05,100,20,1,0.01,1,train,10
8,-0.05,100,20,2,0.01,110,train,10
9,-0.05,100,20,0,0.01,0,train,10
10,-0.05,100,20,1,0.01,42,train,10
11,-0.05,100,20,0,0.01,0,train,10
12,-0.05,100,20,0,0.01,0,train,10
13,-0.05,100,20,1,0.01,1,train,10
14,-0.05,100,20,1,0.01,1,train,10
15,-0.05,100,20,2,0.01,34,train,10
16,-0.05,100,20,2,0.01,230,train,10
17,-0.05,100,20,0,0.01,0,train,10
18,-0.05,100,20,1,0.01,1,train,10
19,-0.05,100,20,0,0.01,0,train,10
20,-0.05,100,20,0,0.01,0,test,10
21,-0.05,100,20,0,0.01,0,test,10
22,-0.05,100,20,2,0.01,24,test,10
23,-0.05,100,20,5,0.01,335,test,10
24,-0.05,100,20,1,0.01,1,test,10
25,-0.05,100,20,0,0.01,0,test,10
26,-0.05,100,20,0,0.01,0,test,10
27,-0.05,100,20,3,0.01,90,test,10
28,-0.05,100,20,1,0.01,1,test,10
29,-0.05,100,20,0,0.01,0,test,10
30,-0.05,100,20,1,0.01,1,test,10
31,-0.05,100,20,4,0.01,234,test,10
32,-0.05,100,20,1,0.01,1,test,10
33,-0.05,100,20,0,0.01,0,test,10
34,-0.05,100,20,0,0.01,0,test,10
35,-0.05,100,20,1,0.01,1,test,10
36,-0.05,100,20,1,0.01,16,test,10
37,-0.05,100,20,0,0.01,0,test,10
38,-0.05,100,20,1,0.01,1,test,10
39,-0.05,100,10,0,0.01,0,train,10
40,-0.05,100,10,0,0.01,0,train,10
41,-0.05,100,10,1,0.01,1,train,10
42,-0.05,100,10,1,0.01,1,train,10
43,-0.05,100,10,0,0.01,0,train,10
44,-0.05,100,10,0,0.01,0,train,10
45,-0.05,100,10,0,0.01,0,train,10
46,-0.05,100,10,1,0.01,1,train,10
47,-0.05,100,10,0,0.01,0,train,10
48,-0.05,100,10,0,0.01,0,train,10
49,-0.05,100,10,2,0.01,63,test,10
50,-0.05,100,10,0,0.01,0,test,10
51,-0.05,100,10,1,0.01,1,test,10
52,-0.05,100,10,1,0.01,1,test,10
53,-0.05,100,10,0,0.01,0,test,10
54,-0.05,100,10,0,0.01,0,test,10
55,-0.05,100,10,2,0.01,82,test,10
56,-0.05,100,10,1,0.01,1,test,10
57,-0.05,100,10,2,0.01,34,test,10
58,-0.05,100,6,0,0.01,0,train,10
59,-0.05,100,6,0,0.01,0,train,10
60,-0.05,100,6,1,0.01,1,train,10
61,-0.05,100,6,1,0.01,1,train,10
62,-0.05,100,6,0,0.01,0,train,10
63,-0.05,100,6,0,0.01,0,train,10
